20;2009;16189
20;2010;16054
20;2011;14154
20;2012;13865
20;2013;13702
20;2014;13424
20;2015;13164
20;2016;13023
20;2017;12877
21;2002;37541
21;2003;37541
21;2004;37100
21;2005;37000
21;2006;36700
21;2007;36424
21;2008;36776
21;2009;37198
21;2010;37037
21;2011;34405
21;2012;33603
21;2013;32941
21;2014;32216
21;2015;31428
21;2016;30954
21;2017;30238
22;2002;40197
22;2003;40197
22;2004;39600
22;2005;39100
22;2006;38800
22;2007;39005
22;2008;38735
22;2009;39336
22;2010;39317
22;2011;39122
22;2012;38942
22;2013;38622
22;2014;38232
22;2015;38209
22;2016;38534
22;2017;38698
23;2002;34367
23;2003;34367
23;2004;33200
23;2005;32400
23;2006;31700
23;2007;31311
23;2008;31179
23;2009;31301
23;2010;31094
23;2011;29932
23;2012;29110
23;2013;28851
23;2014;28425
23;2015;28238
23;2016;27996
23;2017;27500
24;2002;12044
24;2003;12044
24;2004;1200
24;2005;11900
24;2006;11900
24;2007;11827
24;2008;11760
24;2009;11646
24;2010;11469
24;2011;10657
24;2012;10380
24;2013;10287
24;2014;10106
24;2015;9954
24;2016;9708
24;2017;9487
25;2002;31462
25;2003;31462
25;2004;30800
25;2005;30400
25;2006;29800
25;2007;29419
25;2008;29508
25;2009;29793
25;2010;30564
25;2011;30263
25;2012;30015
25;2013;29887
25;2014;29683
25;2015;29427
25;2016;29554
25;2017;29610
26;2002;25761
26;2003;25761
26;2004;25600
26;2005;25600
26;2006;25500
26;2007;25553
26;2008;25466
26;2009;25499
26;2010;25486
26;2011;23428
26;2012;23153
26;2013;23047
26;2014;22885
26;2015;22733
26;2016;22560
26;2017;22542
27;2002;34120
27;2003;34120
27;2004;34100
27;2005;34000
27;2006;33600
27;2007;33412
27;2008;33118
27;2009;33095
27;2010;32928
27;2011;31007
27;2012;30494
27;2013;30090
27;2014;29547
27;2015;29284
27;2016;29018
27;2017;28553
28;2002;29570
28;2003;29570
28;2004;29500
28;2005;30900
28;2006;30900
28;2007;30749
28;2008;30851
28;2009;30831
28;2010;30777
28;2011;30455
28;2012;29702
28;2013;29362
28;2014;28943
28;2015;28446
28;2016;28199
28;2017;27967
29;2002;14487
29;2003;14487
29;2004;14300
29;2005;14200
29;2006;14100
29;2007;14172
29;2008;14106
29;2009;14000
29;2010;13940
29;2011;12431
29;2012;12068
29;2013;11985
29;2014;11796
29;2015;11633
29;2016;11576
29;2017;11388
30;2002;28939
30;2003;28939
30;2004;28600
30;2005;28400
30;2006;28200
30;2007;27559
30;2008;27550
30;2009;27043
30;2010;26830
30;2011;24598
30;2012;24009
30;2013;23686
30;2014;23287
30;2015;22992
30;2016;22563
30;2017;22288
31;2002;37459
31;2003;37459
31;2004;36900
